Before Sunrise,8.1,984
Harry Potter and the Deathly Hallows: Part 2,8.1,348
12 Years a Slave,8.1,518
On the Waterfront,8.1,"2,671"
Ben-Hur,8.1,631
The Grand Budapest Hotel,8.1,333
Gone Girl,8.1,319
Wild Strawberries,8.1,319
The General,8.1,319
Barry Lyndon,8.1,"1,762"
In the Name of the Father,8.1,"2,295"
The Third Man,8.1,"1,577"
The Deer Hunter,8.1,809
Hacksaw Ridge,8.1,308
The Wages of Fear,8.2,308
Memories of Murder,8.1,860
Sherlock Jr.,8.2,860
Wild Tales,8.1,"1,605"
Mr. Smith Goes to Washington,8.1,"1,605"
Mad Max: Fury Road,8.1,241
Mary and Max,8.1,"4,598"
The Seventh Seal,8.1,"2,632"
How to Train Your Dragon,8.1,"1,004"
"Monsters, Inc.",8.1,"1,038"
Jaws,8.1,549
Dead Poets Society,8.1,711
Room,8.1,565
The Big Lebowski,8.1,401
Tokyo Story,8.2,401
The Passion of Joan of Arc,8.2,401
Ford v Ferrari,8.1,295
Hotel Rwanda,8.1,"3,469"
Rocky,8.1,106
Platoon,8.1,444
Ratatouille,8.1,449
Spotlight,8.1,397
Logan,8.1,814
The Terminator,8.1,531
Stand by Me,8.1,231
Rush,8.1,"1,068"
Network,8.1,"2,153"
Before Sunset,8.1,"2,089"
Into the Wild,8.1,794
The Wizard of Oz,8.1,721
The Best Years of Our Lives,8.1,"3,170"
Groundhog Day,8.1,"1,014"
The Exorcist,8.1,508
Pather Panchali,8.3,508
The Incredibles,8.0,869
To Be or Not to Be,8.2,869
La haine,8.1,"2,164"
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,234
Jai Bhim,8.8,"4,386"
The Grapes of Wrath,8.1,"3,546"
The Battle of Algiers,8.1,"3,546"
Hachi: A Dog's Tale,8.1,"1,530"
My Father and My Son,8.2,"1,530"
Amores Perros,8.1,"3,262"
Rebecca,8.1,"1,659"
Cool Hand Luke,8.1,"1,833"
The Handmaiden,8.1,590
The 400 Blows,8.1,"4,428"
The Sound of Music,8.1,825
It Happened One Night,8.1,"1,250"
Persona,8.1,"3,447"
Life of Brian,8.0,"2,166"
The Iron Giant,8.1,"2,654"
The Help,8.1,97
Dersu Uzala,8.2,97
Aladdin,8.0,"1,046"
Dances with Wolves,8.0,924
Gandhi,8.0,"1,809"
